,time,pos,SO2,NO2,PM10,PM2.5,O3,CO,T,H,P,WS,WD
6168,2020-01-01 22:00:00,监测点C,11.0,82.0,102.0,94.0,11.0,1.463,17.1,67,1020.5,0.8,264.5
6169,2020-01-01 23:00:00,监测点C,10.0,70.0,133.0,76.0,6.0,1.443,16.5,70,1020.6,0.6,156.5
6170,2020-01-02 00:00:00,监测点C,9.0,65.0,119.0,76.0,8.0,1.211,16.1,71,1020.5,0.8,157.0
6171,2020-01-02 01:00:00,监测点C,9.0,55.0,106.0,76.0,13.0,1.067,15.9,72,1020.2,0.9,157.1
6172,2020-01-02 02:00:00,监测点C,10.0,52.0,86.0,74.0,13.0,0.999,16.1,72,1019.9,1.0,195.5
6173,2020-01-02 03:00:00,监测点C,10.0,54.0,89.0,72.0,9.0,0.972,16.0,72,1019.6,1.1,185.1
6174,2020-01-02 04:00:00,监测点C,12.0,54.0,88.0,73.0,8.0,0.932,16.0,72,1019.4,1.4,192.2
6175,2020-01-02 05:00:00,监测点C,12.0,45.0,82.0,74.0,14.0,0.902,16.0,72,1019.6,1.7,192.7
6176,2020-01-02 06:00:00,监测点C,11.0,31.0,81.0,73.0,25.0,0.866,16.1,72,1020.0,1.6,196.0
6177,2020-01-02 07:00:00,监测点C,11.0,26.0,82.0,70.0,32.0,0.857,16.2,71,1020.6,1.6,192.3
6178,2020-01-02 08:00:00,监测点C,10.0,27.0,70.0,71.0,31.0,0.942,16.3,71,1021.2,1.8,199.4
6179,2020-01-02 09:00:00,监测点C,10.0,29.0,72.0,72.0,30.0,0.97,16.5,71,1021.9,1.7,196.2
6180,2020-01-02 10:00:00,监测点C,10.0,32.0,67.0,72.0,32.0,0.916,16.8,71,1022.6,1.5,202.1
6181,2020-01-02 11:00:00,监测点C,10.0,32.0,73.0,72.0,36.0,0.886,17.5,68,1022.8,0.7,243.4
6182,2020-01-02 12:00:00,监测点C,10.0,32.0,65.0,73.0,44.0,0.861,17.9,68,1022.1,0.9,311.6
6183,2020-01-02 13:00:00,监测点C,10.0,36.0,72.0,78.0,49.0,0.895,18.8,65,1020.8,0.5,283.1
6184,2020-01-02 14:00:00,监测点C,10.0,35.0,66.0,78.0,64.0,0.859,19.9,61,1019.5,0.8,39.6
6185,2020-01-02 15:00:00,监测点C,10.0,34.0,73.0,74.0,81.0,0.797,20.7,60,1018.5,1.0,316.6
6186,2020-01-02 16:00:00,监测点C,9.0,33.0,85.0,74.0,92.0,0.757,20.7,60,1018.1,1.0,332.4
6187,2020-01-02 17:00:00,监测点C,10.0,39.0,80.0,81.0,90.0,0.787,20.6,62,1018.2,1.0,345.2
6188,2020-01-02 18:00:00,监测点C,11.0,52.0,83.0,83.0,74.0,0.974,20.1,64,1018.1,1.0,353.4
6189,2020-01-02 19:00:00,监测点C,11.0,78.0,107.0,104.0,41.0,1.399,19.6,67,1018.1,0.6,41.2
6190,2020-01-02 20:00:00,监测点C,10.0,98.0,140.0,108.0,15.0,1.487,19.1,69,1018.5,0.6,100.1
6191,2020-01-02 21:00:00,监测点C,10.0,79.0,140.0,84.0,19.0,1.438,18.5,70,1018.8,0.8,162.8
6192,2020-01-02 22:00:00,监测点C,8.0,64.0,114.0,89.0,16.0,1.573,18.2,72,1018.9,0.6,174.2
6193,2020-01-02 23:00:00,监测点C,6.0,66.0,108.0,103.0,7.0,1.323,17.5,76,1018.7,0.6,301.6
6194,2020-01-03 00:00:00,监测点C,7.0,83.0,179.0,125.0,6.0,1.403,16.9,80,1018.7,0.4,354.5
6195,2020-01-03 01:00:00,监测点C,6.0,79.0,131.0,73.0,6.0,1.222,16.7,80,1018.4,0.4,284.4
6196,2020-01-03 02:00:00,监测点C,6.0,47.0,113.0,63.0,22.0,0.8,16.5,78,1018.1,0.7,159.3
6197,2020-01-03 03:00:00,监测点C,5.0,53.0,87.0,68.0,11.0,0.807,16.1,80,1017.6,0.8,251.4
6198,2020-01-03 04:00:00,监测点C,5.0,56.0,79.0,70.0,5.0,0.777,15.7,82,1017.5,0.7,192.3
6199,2020-01-03 05:00:00,监测点C,6.0,52.0,75.0,68.0,8.0,0.724,15.5,82,1017.5,0.9,189.0
6200,2020-01-03 06:00:00,监测点C,6.0,52.0,67.0,61.0,7.0,0.735,15.3,83,1017.9,1.0,189.9
6201,2020-01-03 07:00:00,监测点C,7.0,51.0,65.0,58.0,7.0,0.808,15.0,84,1018.4,0.8,226.9
6202,2020-01-03 08:00:00,监测点C,7.0,52.0,71.0,60.0,6.0,1.012,14.6,85,1019.1,0.8,190.5
6203,2020-01-03 09:00:00,监测点C,7.0,49.0,71.0,58.0,10.0,0.968,15.1,83,1019.7,1.4,196.7
6204,2020-01-03 10:00:00,监测点C,7.0,46.0,71.0,61.0,15.0,0.928,15.8,80,1020.3,1.1,180.0
6205,2020-01-03 11:00:00,监测点C,8.0,49.0,78.0,74.0,19.0,1.049,16.9,76,1020.3,0.8,203.4
6206,2020-01-03 12:00:00,监测点C,9.0,58.0,96.0,89.0,36.0,1.087,17.9,72,1019.5,0.9,347.7
6207,2020-01-03 13:00:00,监测点C,10.0,50.0,107.0,93.0,81.0,0.872,19.7,65,1018.3,1.0,64.5
6208,2020-01-03 14:00:00,监测点C,9.0,38.0,83.0,94.0,122.0,0.738,20.9,60,1017.0,1.2,342.4
6209,2020-01-03 15:00:00,监测点C,9.0,36.0,108.0,95.0,148.0,0.748,21.7,58,1016.1,1.2,318.3
6210,2020-01-03 16:00:00,监测点C,9.0,33.0,92.0,86.0,164.0,0.702,22.4,56,1015.5,1.0,322.1
6211,2020-01-03 17:00:00,监测点C,8.0,37.0,84.0,97.0,165.0,0.731,22.3,57,1015.3,1.0,19.5
6212,2020-01-03 18:00:00,监测点C,9.0,52.0,95.0,112.0,148.0,0.977,21.8,59,1015.6,0.7,41.0
6213,2020-01-03 19:00:00,监测点C,9.0,92.0,125.0,127.0,84.0,1.651,21.0,63,1015.9,0.3,106.2
6214,2020-01-03 20:00:00,监测点C,8.0,158.0,173.0,149.0,10.0,3.578,20.3,67,1016.4,0.7,153.4
6215,2020-01-03 21:00:00,监测点C,8.0,134.0,216.0,126.0,12.0,2.7,19.6,70,1016.9,0.5,159.5
6216,2020-01-03 22:00:00,监测点C,7.0,119.0,173.0,120.0,10.0,2.821,19.2,72,1017.1,0.7,172.4
6217,2020-01-03 23:00:00,监测点C,7.0,109.0,138.0,120.0,10.0,2.448,18.7,73,1017.0,0.3,217.6
6218,2020-01-04 00:00:00,监测点C,7.0,78.0,138.0,117.0,31.0,1.566,18.0,75,1016.7,0.4,154.2
6219,2020-01-04 01:00:00,监测点C,6.0,68.0,129.0,123.0,34.0,1.252,17.8,76,1016.3,0.5,186.6
6220,2020-01-04 02:00:00,监测点C,6.0,59.0,114.0,115.0,36.0,1.109,17.5,76,1016.1,0.4,188.1
6221,2020-01-04 03:00:00,监测点C,6.0,55.0,102.0,108.0,37.0,0.926,17.2,78,1015.8,0.8,179.7
6222,2020-01-04 04:00:00,监测点C,6.0,61.0,98.0,112.0,24.0,0.943,16.9,79,1015.4,0.5,184.4
6223,2020-01-04 05:00:00,监测点C,6.0,58.0,98.0,121.0,26.0,0.894,16.6,81,1015.1,0.3,242.5
6224,2020-01-04 06:00:00,监测点C,6.0,71.0,124.0,113.0,5.0,0.942,16.1,84,1015.5,0.4,50.1
6225,2020-01-04 07:00:00,监测点C,6.0,54.0,109.0,110.0,26.0,0.883,16.0,82,1015.8,0.9,193.1
6226,2020-01-04 08:00:00,监测点C,6.0,53.0,104.0,111.0,32.0,0.944,16.2,81,1016.4,0.8,205.1
6227,2020-01-04 09:00:00,监测点C,7.0,63.0,84.0,114.0,28.0,1.213,17.0,79,1017.0,0.4,174.4
6228,2020-01-04 10:00:00,监测点C,9.0,74.0,93.0,123.0,30.0,1.265,18.4,72,1017.7,0.6,16.8
6229,2020-01-04 11:00:00,监测点C,10.0,69.0,130.0,129.0,68.0,1.077,19.7,68,1017.7,1.0,325.6
6230,2020-01-04 12:00:00,监测点C,10.0,55.0,112.0,131.0,112.0,0.882,21.4,62,1016.8,0.9,318.6
6231,2020-01-04 13:00:00,监测点C,9.0,37.0,122.0,120.0,160.0,0.746,22.4,58,1015.1,1.4,296.2
6232,2020-01-04 14:00:00,监测点C,9.0,35.0,103.0,104.0,179.0,0.703,23.9,54,1013.8,1.1,291.1
6233,2020-01-04 15:00:00,监测点C,8.0,35.0,81.0,90.0,194.0,0.662,25.0,49,1012.9,1.1,314.1
6234,2020-01-04 16:00:00,监测点C,8.0,36.0,86.0,113.0,221.0,0.682,24.5,51,1012.2,1.8,2.5
6235,2020-01-04 17:00:00,监测点C,11.0,43.0,117.0,140.0,234.0,0.759,24.4,53,1012.4,1.6,2.1
6236,2020-01-04 18:00:00,监测点C,10.0,60.0,125.0,141.0,203.0,0.99,23.8,54,1012.6,1.0,11.2
6237,2020-01-04 19:00:00,监测点C,12.0,75.0,177.0,164.0,166.0,1.147,23.0,58,1013.2,0.6,33.5
6238,2020-01-04 20:00:00,监测点C,10.0,133.0,205.0,170.0,62.0,2.143,22.1,62,1013.8,0.6,116.9
6239,2020-01-04 21:00:00,监测点C,8.0,156.0,211.0,168.0,27.0,3.798,21.3,65,1014.4,0.6,174.8
6240,2020-01-04 22:00:00,监测点C,7.0,147.0,246.0,166.0,13.0,3.174,20.6,68,1014.8,0.4,147.0
6241,2020-01-04 23:00:00,监测点C,7.0,144.0,232.0,169.0,12.0,3.585,20.1,71,1015.2,0.5,191.8
6242,2020-01-05 00:00:00,监测点C,7.0,84.0,174.0,148.0,64.0,1.757,19.7,70,1015.0,0.6,186.3
6243,2020-01-05 01:00:00,监测点C,7.0,69.0,168.0,157.0,83.0,1.241,19.4,71,1014.9,0.8,197.5
6244,2020-01-05 02:00:00,监测点C,7.0,76.0,165.0,152.0,58.0,1.1,18.8,74,1014.8,1.0,190.1
6245,2020-01-05 03:00:00,监测点C,7.0,56.0,152.0,140.0,67.0,0.921,18.6,74,1014.6,0.7,151.7
6246,2020-01-05 04:00:00,监测点C,7.0,59.0,135.0,139.0,50.0,0.967,18.4,75,1014.5,0.6,222.4
6247,2020-01-05 05:00:00,监测点C,6.0,63.0,159.0,146.0,35.0,0.947,17.9,78,1014.5,0.6,174.7
6248,2020-01-05 06:00:00,监测点C,6.0,60.0,146.0,159.0,49.0,0.993,17.6,77,1014.6,0.7,170.0
6249,2020-01-05 07:00:00,监测点C,6.0,70.0,156.0,155.0,27.0,1.001,17.4,78,1014.6,0.8,189.6
6250,2020-01-05 08:00:00,监测点C,6.0,78.0,150.0,138.0,13.0,1.106,17.2,80,1015.2,0.7,277.8
6251,2020-01-05 09:00:00,监测点C,7.0,77.0,127.0,126.0,12.0,1.229,17.6,78,1015.9,0.6,263.4
6252,2020-01-05 10:00:00,监测点C,8.0,87.0,133.0,144.0,12.0,1.425,18.2,76,1016.8,0.4,3.0
6253,2020-01-05 11:00:00,监测点C,9.0,89.0,157.0,140.0,17.0,1.286,18.5,76,1017.0,0.8,286.7
6254,2020-01-05 12:00:00,监测点C,10.0,65.0,147.0,112.0,56.0,0.851,20.0,70,1016.6,0.8,205.2
6255,2020-01-05 13:00:00,监测点C,9.0,53.0,100.0,104.0,92.0,0.782,21.7,62,1015.6,0.8,234.1
6256,2020-01-05 14:00:00,监测点C,7.0,50.0,101.0,107.0,120.0,0.75,22.0,60,1014.8,1.1,357.4
6257,2020-01-05 15:00:00,监测点C,7.0,52.0,108.0,119.0,140.0,0.699,22.5,58,1014.2,1.0,358.9
6258,2020-01-05 16:00:00,监测点C,7.0,53.0,109.0,120.0,150.0,0.686,23.5,55,1013.7,0.7,281.1
6259,2020-01-05 17:00:00,监测点C,7.0,54.0,115.0,119.0,154.0,0.746,23.0,57,1013.5,0.8,24.4
6260,2020-01-05 18:00:00,监测点C,7.0,66.0,144.0,128.0,134.0,0.992,22.6,60,1013.6,0.6,138.1
6261,2020-01-05 19:00:00,监测点C,7.0,104.0,138.0,135.0,81.0,1.946,21.9,63,1014.0,0.6,147.8
6262,2020-01-05 20:00:00,监测点C,7.0,111.0,201.0,134.0,52.0,2.015,21.2,66,1014.4,1.0,152.0
6263,2020-01-05 21:00:00,监测点C,7.0,72.0,198.0,115.0,74.0,1.41,20.7,68,1014.8,1.0,163.8
6264,2020-01-05 22:00:00,监测点C,6.0,69.0,152.0,114.0,64.0,1.383,20.4,68,1014.8,0.8,158.5
6265,2020-01-05 23:00:00,监测点C,6.0,65.0,128.0,109.0,60.0,1.297,20.4,69,1015.0,0.7,144.8
6266,2020-01-06 00:00:00,监测点C,6.0,90.0,114.0,105.0,27.0,1.354,20.2,71,1014.9,0.5,264.2
6267,2020-01-06 01:00:00,监测点C,6.0,71.0,139.0,88.0,37.0,1.134,20.1,71,1014.6,0.6,214.3
6268,2020-01-06 02:00:00,监测点C,6.0,63.0,140.0,86.0,39.0,1.008,20.0,72,1014.4,0.5,168.4
6269,2020-01-06 03:00:00,监测点C,6.0,57.0,113.0,87.0,35.0,0.926,19.8,74,1014.3,0.6,286.3
6270,2020-01-06 04:00:00,监测点C,6.0,59.0,111.0,86.0,28.0,0.912,19.8,75,1014.0,0.5,135.6
6271,2020-01-06 05:00:00,监测点C,6.0,61.0,102.0,77.0,19.0,0.902,19.8,76,1014.0,0.4,213.5
6272,2020-01-06 06:00:00,监测点C,6.0,52.0,95.0,60.0,28.0,0.78,19.8,76,1014.2,1.0,190.4
6273,2020-01-06 07:00:00,监测点C,6.0,58.0,105.0,62.0,20.0,0.862,19.8,76,1014.5,0.8,194.6
6274,2020-01-06 08:00:00,监测点C,6.0,72.0,111.0,71.0,7.0,1.362,19.8,76,1014.8,0.5,234.5
6275,2020-01-06 09:00:00,监测点C,6.0,79.0,115.0,66.0,8.0,2.096,20.2,75,1015.4,0.4,126.5
6276,2020-01-06 10:00:00,监测点C,7.0,78.0,117.0,54.0,15.0,1.858,21.2,72,1016.1,0.3,211.6
6277,2020-01-06 11:00:00,监测点C,9.0,68.0,96.0,42.0,28.0,1.335,22.0,67,1016.3,0.7,123.1
6278,2020-01-06 12:00:00,监测点C,8.0,40.0,75.0,28.0,59.0,0.731,22.5,65,1015.8,0.6,55.3
6279,2020-01-06 13:00:00,监测点C,8.0,35.0,52.0,30.0,70.0,0.697,22.9,63,1014.7,0.8,100.9
6280,2020-01-06 14:00:00,监测点C,8.0,45.0,77.0,48.0,71.0,0.706,23.1,63,1013.5,0.6,103.5
6281,2020-01-06 15:00:00,监测点C,8.0,50.0,98.0,56.0,76.0,0.724,23.1,64,1012.6,0.8,11.9
6282,2020-01-06 16:00:00,监测点C,8.0,47.0,93.0,55.0,87.0,0.664,23.1,64,1011.9,1.0,353.5
6283,2020-01-06 17:00:00,监测点C,9.0,54.0,96.0,56.0,82.0,0.723,23.0,66,1011.5,1.0,7.5
6284,2020-01-06 18:00:00,监测点C,9.0,75.0,107.0,64.0,56.0,1.138,23.0,66,1011.4,0.3,55.1
6285,2020-01-06 19:00:00,监测点C,9.0,100.0,120.0,77.0,27.0,2.188,22.7,69,1011.3,0.3,332.8
6286,2020-01-06 20:00:00,监测点C,8.0,117.0,185.0,86.0,7.0,2.671,22.4,70,1011.5,0.4,153.0
6287,2020-01-06 21:00:00,监测点C,8.0,110.0,201.0,84.0,7.0,2.711,22.0,72,1011.5,0.4,252.2
6288,2020-01-06 22:00:00,监测点C,8.0,105.0,171.0,86.0,6.0,2.857,21.5,74,1011.8,0.4,75.3
6289,2020-01-06 23:00:00,监测点C,8.0,95.0,173.0,90.0,5.0,2.475,21.1,76,1012.0,0.4,359.3
6290,2020-01-07 00:00:00,监测点C,9.0,92.0,210.0,111.0,6.0,1.516,21.1,77,1012.7,1.0,25.9
6291,2020-01-07 01:00:00,监测点C,10.0,74.0,162.0,77.0,8.0,0.933,20.8,77,1012.8,1.4,1.4
6292,2020-01-07 02:00:00,监测点C,9.0,61.0,101.0,62.0,13.0,0.849,20.7,78,1012.1,0.6,134.2
6293,2020-01-07 03:00:00,监测点C,8.0,48.0,75.0,43.0,25.0,0.716,20.7,77,1010.8,1.2,219.0
6294,2020-01-07 04:00:00,监测点C,9.0,41.0,67.0,32.0,28.0,0.586,20.4,78,1010.9,1.3,305.5
6295,2020-01-07 05:00:00,监测点C,11.0,42.0,60.0,31.0,26.0,0.569,20.2,79,1011.6,1.0,358.6
6296,2020-01-07 06:00:00,监测点C,11.0,38.0,58.0,33.0,26.0,0.577,20.1,80,1011.9,0.6,280.3
6297,2020-01-07 07:00:00,监测点C,10.0,40.0,63.0,36.0,22.0,0.715,20.0,80,1011.8,0.6,221.2
6298,2020-01-07 08:00:00,监测点C,10.0,52.0,66.0,38.0,11.0,1.116,20.0,81,1012.5,0.6,157.4
6299,2020-01-07 09:00:00,监测点C,11.0,55.0,83.0,39.0,14.0,1.409,20.6,78,1013.7,0.7,134.9
6300,2020-01-07 10:00:00,监测点C,13.0,44.0,70.0,39.0,36.0,0.931,21.5,74,1014.3,0.7,266.4
6301,2020-01-07 11:00:00,监测点C,13.0,45.0,76.0,48.0,45.0,0.779,22.2,71,1014.4,1.0,275.1
6302,2020-01-07 12:00:00,监测点C,10.0,34.0,66.0,47.0,66.0,0.691,23.0,68,1014.1,1.1,322.5
6303,2020-01-07 13:00:00,监测点C,8.0,23.0,63.0,36.0,86.0,0.565,23.7,64,1012.7,1.7,354.6
6304,2020-01-07 14:00:00,监测点C,8.0,15.0,38.0,28.0,100.0,0.497,24.9,60,1011.3,1.7,336.0
6305,2020-01-07 15:00:00,监测点C,8.0,16.0,44.0,26.0,100.0,0.518,26.1,55,1010.4,1.5,357.0
6306,2020-01-07 16:00:00,监测点C,7.0,16.0,42.0,24.0,99.0,0.503,26.7,53,1009.7,1.0,332.8
6307,2020-01-07 17:00:00,监测点C,8.0,22.0,36.0,30.0,108.0,0.553,26.8,53,1009.4,1.0,281.4
6308,2020-01-07 18:00:00,监测点C,8.0,37.0,76.0,37.0,101.0,0.835,26.0,56,1009.8,0.7,298.8
6309,2020-01-07 19:00:00,监测点C,8.0,70.0,97.0,46.0,55.0,1.439,25.0,60,1010.3,0.5,13.8
6310,2020-01-07 20:00:00,监测点C,8.0,107.0,136.0,73.0,12.0,2.345,23.9,65,1011.1,0.7,146.7
6311,2020-01-07 21:00:00,监测点C,8.0,99.0,169.0,69.0,7.0,2.471,23.2,68,1012.0,0.7,164.4
6312,2020-01-07 22:00:00,监测点C,7.0,88.0,133.0,59.0,13.0,1.564,22.8,69,1012.3,1.0,148.7
6313,2020-01-07 23:00:00,监测点C,7.0,64.0,106.0,54.0,29.0,1.104,22.4,70,1012.8,1.4,186.8
6314,2020-01-08 00:00:00,监测点C,6.0,72.0,110.0,52.0,17.0,0.967,21.8,72,1013.1,0.8,209.6
6315,2020-01-08 01:00:00,监测点C,7.0,62.0,109.0,42.0,24.0,0.829,21.5,71,1013.2,0.9,231.6
6316,2020-01-08 02:00:00,监测点C,7.0,25.0,60.0,24.0,57.0,0.618,21.6,64,1013.5,1.6,173.4
6317,2020-01-08 03:00:00,监测点C,6.0,18.0,41.0,21.0,61.0,0.589,21.0,63,1013.4,1.6,173.3
6318,2020-01-08 04:00:00,监测点C,6.0,19.0,29.0,20.0,60.0,0.606,20.4,61,1013.3,1.2,162.6
6319,2020-01-08 05:00:00,监测点C,7.0,16.0,30.0,20.0,61.0,0.642,19.7,60,1013.7,2.1,156.8
6320,2020-01-08 06:00:00,监测点C,7.0,16.0,32.0,22.0,62.0,0.683,19.0,61,1014.4,2.9,155.0
6321,2020-01-08 07:00:00,监测点C,7.0,17.0,31.0,22.0,62.0,0.708,18.7,60,1014.9,2.6,154.6
6322,2020-01-08 08:00:00,监测点C,7.0,24.0,35.0,20.0,57.0,0.803,18.7,59,1015.3,1.7,172.0
6323,2020-01-08 09:00:00,监测点C,8.0,22.0,37.0,18.0,63.0,0.808,18.9,57,1016.3,1.7,176.8
6324,2020-01-08 10:00:00,监测点C,9.0,23.0,36.0,15.0,68.0,0.792,19.4,53,1017.2,2.5,195.8
6325,2020-01-08 11:00:00,监测点C,9.0,25.0,38.0,15.0,74.0,0.804,20.0,50,1017.4,2.4,205.5
6326,2020-01-08 12:00:00,监测点C,9.0,26.0,43.0,14.0,80.0,0.808,20.7,48,1016.6,2.9,201.3
6327,2020-01-08 13:00:00,监测点C,10.0,22.0,41.0,15.0,97.0,0.808,21.9,45,1015.2,2.6,202.8
6328,2020-01-08 14:00:00,监测点C,9.0,18.0,31.0,16.0,116.0,0.764,23.0,43,1014.0,2.2,205.9
6329,2020-01-08 15:00:00,监测点C,8.0,21.0,34.0,17.0,120.0,0.745,24.3,40,1012.8,1.6,225.8
6330,2020-01-08 16:00:00,监测点C,8.0,24.0,44.0,19.0,119.0,0.738,24.6,40,1012.0,1.4,290.0
6331,2020-01-08 17:00:00,监测点C,8.0,28.0,49.0,22.0,114.0,0.748,25.2,38,1011.6,1.4,274.6
6332,2020-01-08 18:00:00,监测点C,7.0,34.0,53.0,22.0,107.0,0.892,24.4,42,1011.7,1.3,260.6
6333,2020-01-08 19:00:00,监测点C,7.0,50.0,118.0,35.0,88.0,1.308,23.4,45,1012.1,0.9,179.7
6334,2020-01-08 20:00:00,监测点C,8.0,73.0,70.0,51.0,53.0,1.607,22.6,48,1012.5,0.9,180.5
6335,2020-01-08 21:00:00,监测点C,7.0,53.0,98.0,34.0,59.0,1.151,21.4,52,1012.9,1.0,175.3
6336,2020-01-08 22:00:00,监测点C,6.0,50.0,68.0,29.0,57.0,1.09,20.7,53,1013.1,0.6,187.5
6337,2020-01-08 23:00:00,监测点C,6.0,48.0,62.0,28.0,55.0,1.042,20.2,55,1012.9,0.8,185.1
6338,2020-01-09 00:00:00,监测点C,7.0,51.0,65.0,28.0,54.0,0.889,19.6,54,1012.9,1.0,190.3
6339,2020-01-09 01:00:00,监测点C,7.0,47.0,58.0,27.0,55.0,0.822,19.0,55,1012.8,0.9,203.0
6340,2020-01-09 02:00:00,监测点C,8.0,47.0,55.0,24.0,53.0,0.794,18.6,55,1012.6,1.2,194.1
6341,2020-01-09 03:00:00,监测点C,9.0,48.0,52.0,23.0,50.0,0.774,18.3,54,1012.2,1.0,187.9
6342,2020-01-09 04:00:00,监测点C,10.0,50.0,47.0,25.0,44.0,0.803,17.9,55,1012.2,1.2,195.2
6343,2020-01-09 05:00:00,监测点C,10.0,54.0,52.0,25.0,37.0,0.804,17.8,56,1012.2,1.1,197.3
6344,2020-01-09 06:00:00,监测点C,11.0,51.0,58.0,24.0,39.0,0.799,17.5,56,1012.5,1.1,195.0
6345,2020-01-09 07:00:00,监测点C,11.0,51.0,54.0,27.0,37.0,0.843,17.3,56,1012.8,1.2,189.8
6346,2020-01-09 08:00:00,监测点C,11.0,66.0,51.0,33.0,24.0,1.057,17.5,57,1013.4,0.8,158.6
6347,2020-01-09 09:00:00,监测点C,13.0,64.0,64.0,38.0,29.0,1.208,18.1,55,1014.2,0.9,194.3
6348,2020-01-09 10:00:00,监测点C,13.0,66.0,72.0,45.0,29.0,1.068,19.1,54,1014.8,1.0,208.5
6349,2020-01-09 11:00:00,监测点C,14.0,62.0,88.0,48.0,37.0,0.988,20.0,53,1015.1,0.9,235.1
6350,2020-01-09 12:00:00,监测点C,14.0,58.0,82.0,51.0,58.0,0.92,20.6,51,1014.5,1.0,182.3
6351,2020-01-09 13:00:00,监测点C,14.0,57.0,88.0,53.0,77.0,0.864,21.3,50,1013.6,0.9,258.0
6352,2020-01-09 14:00:00,监测点C,14.0,53.0,76.0,55.0,91.0,0.759,21.7,50,1012.2,0.9,227.6
6353,2020-01-09 15:00:00,监测点C,12.0,57.0,77.0,60.0,93.0,0.839,22.4,49,1011.6,0.5,165.1
6354,2020-01-09 16:00:00,监测点C,11.0,65.0,100.0,60.0,86.0,0.854,22.0,51,1010.8,0.6,91.7
6355,2020-01-09 17:00:00,监测点C,12.0,72.0,102.0,64.0,81.0,0.938,22.1,52,1010.6,0.5,113.7
6356,2020-01-09 18:00:00,监测点C,11.0,88.0,111.0,70.0,62.0,1.213,21.8,53,1010.3,0.6,32.5
6357,2020-01-09 19:00:00,监测点C,11.0,125.0,139.0,99.0,22.0,1.402,21.5,56,1010.6,0.7,12.1
6358,2020-01-09 20:00:00,监测点C,12.0,135.0,192.0,102.0,11.0,1.353,21.2,58,1010.8,0.6,225.2
6359,2020-01-09 21:00:00,监测点C,10.0,87.0,179.0,90.0,52.0,1.178,21.1,61,1010.9,1.1,224.2
6360,2020-01-09 22:00:00,监测点C,9.0,85.0,139.0,84.0,52.0,1.125,21.0,62,1011.0,1.1,204.6
6361,2020-01-09 23:00:00,监测点C,10.0,66.0,131.0,77.0,72.0,1.044,21.0,61,1011.1,1.0,220.1
6362,2020-01-10 00:00:00,监测点C,9.0,62.0,118.0,78.0,66.0,1.014,20.8,62,1010.9,0.8,231.7
6363,2020-01-10 01:00:00,监测点C,10.0,46.0,110.0,66.0,66.0,0.901,20.5,63,1010.7,0.9,236.9
