监测日期,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3最大八小时滑动平均监测浓度(μg/m³),CO监测浓度(mg/m³)
2021-02-13,8,15,40,29,102,0.6
2021-02-14,8,17,40,32,111,0.6
2021-02-15,6,13,36,28,128,0.6
2021-02-16,5,16,38,25,107,0.6
2021-02-17,4,9,26,18,102,0.7
2021-02-18,5,16,37,18,114,0.5
2021-02-19,5,24,59,37,152,0.7
2021-02-20,9,20,52,36,159,0.7
2021-02-21,7,21,46,33,153,0.7
2021-02-22,7,27,49,36,200,0.8
2021-02-23,7,34,45,33,195,0.8
2021-02-24,5,17,39,21,120,0.6
2021-02-25,5,25,31,17,68,0.6
2021-02-26,4,36,33,21,28,0.9
2021-02-27,4,27,28,14,21,0.9
2021-02-28,6,50,52,29,45,1.1
2021-03-01,5,57,71,43,85,1.2
2021-03-02,5,22,23,10,65,1
2021-03-03,6,44,48,23,36,1
2021-03-04,4,44,63,42,6,1.3
2021-03-05,4,43,57,40,18,1.1
2021-03-06,4,43,32,21,36,0.9
2021-03-07,4,32,30,15,36,1.2
2021-03-08,4,52,52,28,22,1.1
2021-03-09,5,50,66,42,125,0.9
2021-03-10,5,28,54,31,111,0.8
2021-03-11,5,36,45,23,102,0.7
2021-03-12,6,49,72,48,206,0.9
2021-03-13,5,46,56,40,136,0.9
2021-03-14,5,31,56,39,157,0.9
2021-03-15,5,26,45,28,125,0.7
2021-03-16,5,29,50,29,111,0.7
2021-03-17,4,33,50,27,95,0.7
2021-03-18,4,28,40,25,66,0.6
2021-03-19,4,25,35,16,77,0.6
2021-03-20,4,0,45,26,136,0.7
2021-03-21,3,23,33,17,55,0.9
2021-03-22,3,21,77,29,83,0.8
2021-03-23,7,57,128,41,40,0.9
2021-03-24,4,61,94,49,78,1
2021-03-25,7,70,100,56,185,1.1
2021-03-26,5,25,51,20,120,0.6
2021-03-27,4,34,56,23,105,0.8
2021-03-28,6,34,58,28,119,0.9
2021-03-29,3,19,34,12,56,0.7
2021-03-30,2,12,30,10,80,0.7
2021-03-31,1,12,27,9,55,0.6
2021-04-01,2,12,25,7,51,0.6
2021-04-02,4,17,29,12,61,0.7
2021-04-03,7,25,40,18,88,0.8
2021-04-04,4,25,49,21,47,1
2021-04-05,4,32,52,28,67,1.1
2021-04-06,6,43,82,49,259,1.2
2021-04-07,4,23,48,27,122,0.9
2021-04-08,3,36,33,15,67,0.9
2021-04-09,4,41,35,18,51,1.1
2021-04-10,5,48,56,28,130,1
2021-04-11,5,24,40,16,151,0.7
2021-04-12,4,31,44,17,107,0.8
2021-04-13,6,25,44,20,153,1
2021-04-14,4,18,34,465,83,0.7
2021-04-15,3,25,32,15,65,0.4
2021-04-16,3,44,33,17,42,0.7
2021-04-17,3,41,33,16,28,0.8
2021-04-18,3,30,83,37,146,0.6
2021-04-19,4,33,103,39,141,0.5
2021-04-20,6,42,70,32,148,0.6
2021-04-21,7,30,61,23,163,0.5
2021-04-22,8,30,64,29,156,0.6
2021-04-23,8,26,62,33,193,0.7
2021-04-24,5,13,36,15,105,0.5
2021-04-25,4,26,35,17,80,0.6
2021-04-26,4,41,31,14,39,0.6
2021-04-27,4,55,37,22,18,0.6
2021-04-28,4,40,26,19,6,0.9
2021-04-29,5,40,43,17,124,0.8
2021-04-30,10,59,80,49,296,1
2021-05-01,6,21,53,34,188,0.9
2021-05-02,5,26,42,29,106,0.8
2021-05-03,3,26,28,14,67,0.5
2021-05-04,3,26,28,11,77,0.5
2021-05-05,4,33,38,22,136,0.7
2021-05-06,3,24,52,23,135,0.6
2021-05-07,5,24,51,27,167,0.7
2021-05-08,4,19,38,16,108,0.5
2021-05-09,4,19,37,16,113,0.5
2021-05-10,3,13,22,6,75,0.5
2021-05-11,3,12,22,7,67,0.4
2021-05-12,2,12,24,7,62,0.4
2021-05-13,3,13,24,10,60,0.4
2021-05-14,5,12,25,11,59,0.4
2021-05-15,5,10,26,10,75,0.4
2021-05-16,4,10,25,7,66,0.4
2021-05-17,4,12,23,6,59,0.4
2021-05-18,4,13,23,6,54,0.4
2021-05-19,3,10,23,8,73,0.4
2021-05-20,3,11,24,8,56,0.4
2021-05-22,2,10,18,4,74,0.4
2021-05-23,2,12,19,4,81,0.4
2021-05-24,4,26,23,7,44,0.5
2021-05-25,7,35,24,10,65,0.6
2021-05-26,6,21,24,7,72,0.5
2021-05-27,8,16,20,5,79,0.4
2021-05-28,6,16,22,4,75,0.4
2021-05-29,6,17,25,5,58,0.4
2021-05-30,5,16,30,9,76,0.5
2021-05-31,5,19,22,9,83,0.5
2021-06-01,3,29,16,5,58,0.5
2021-06-02,3,32,24,8,47,0.5
2021-06-03,3,25,32,11,84,0.6
2021-06-04,3,25,22,8,59,0.6
2021-06-05,7,30,40,18,168,0.6
2021-06-06,12,32,58,34,212,0.7
2021-06-07,8,19,38,24,192,0.6
2021-06-08,8,23,37,17,197,0.5
2021-06-09,8,24,23,6,88,0.4
2021-06-10,8,27,23,7,93,0.4
2021-06-11,8,26,30,8,86,0.4
2021-06-12,7,21,18,4,46,0.4
2021-06-13,6,27,21,4,35,0.4
2021-06-14,5,17,22,5,35,0.4
2021-06-15,5,16,26,8,67,0.4
2021-06-16,5,13,26,9,64,0.4
2021-06-17,4,19,26,8,45,0.4
2021-06-18,5,15,28,10,87,0.4
2021-06-19,5,13,30,12,96,0.4
2021-06-20,7,12,33,13,96,0.4
2021-06-21,6,16,35,15,95,0.4
2021-06-22,4,34,22,12,88,0.4
2021-06-23,4,29,22,12,62,0.4
2021-06-24,5,38,32,16,49,0.5
2021-06-25,5,25,32,16,90,0.5
2021-06-26,4,32,34,14,65,0.4
2021-06-27,4,15,34,14,68,0.4
2021-06-28,5,16,33,13,65,0.4
2021-06-29,6,14,33,13,59,0.5
2021-06-30,5,11,32,12,54,0.5
2021-07-01,5,8,33,12,69,0.5
2021-07-02,6,10,31,10,74,0.5
2021-07-03,6,12,34,13,67,0.5
2021-07-04,6,10,27,10,93,0.4
2021-07-05,6,19,21,4,64,0.4
2021-07-06,6,25,25,4,39,0.4
2021-07-07,5,18,18,3,54,0.4
2021-07-08,5,15,18,3,64,0.4
2021-07-09,7,17,28,12,146,0.4
2021-07-10,6,13,20,5,81,0.4
2021-07-11,6,11,20,3,63,0.3
2021-07-12,6,11,17,5,81,0.4
2021-07-13,0,0,0,0,0,0
