,SO2,NO2,PM10,PM2.5,O3,CO,T,H,P,WS,WD,AQI,MainPStr,DAQI,MainP,AP
20,5.0,67.0,49.0,40.0,55.0,1.0,22.8,79.0,1010.5,0.5,287.4,84.0,NO2,5.0,1,0.627494656370245
21,5.0,71.0,51.0,39.0,32.0,1.1,22.4,81.0,1011.1,0.2,189.7,89.0,NO2,21.0,1,0.6345928130706222
22,5.0,100.0,61.0,47.0,2.0,1.1,21.9,84.0,1011.6,0.4,223.8,110.0,NO2,-5.0,1,0.9965627289362785
23,5.0,90.0,62.0,48.0,1.0,1.2,21.6,86.0,1011.7,0.4,265.2,105.0,NO2,-8.0,1,0.9398625893568288
24,5.0,77.0,50.0,50.0,1.0,1.1,21.2,87.0,1011.4,0.3,247.1,97.0,NO2,5.0,1,0.6794897665372923
25,5.0,84.0,54.0,41.0,0.0,1.2,20.9,88.0,1011.0,0.3,294.5,102.0,NO2,-1.0,1,0.7424375138260464
26,5.0,81.0,57.0,46.0,0.0,1.2,20.9,89.0,1010.6,0.2,272.1,101.0,NO2,5.0,1,0.7794226038423444
27,6.0,91.0,57.0,40.0,0.0,1.3,21.0,89.0,1010.0,0.2,342.3,106.0,NO2,2.0,1,0.8929976191690734
28,8.0,96.0,63.0,50.0,0.0,1.3,21.1,88.0,1010.0,0.4,324.5,108.0,NO2,-2.0,1,1.1275022490032096
29,7.0,92.0,66.0,53.0,0.0,1.4,21.0,89.0,1010.2,0.2,123.7,106.0,NO2,-1.0,1,1.1533979489915347
30,8.0,89.0,83.0,60.0,0.0,1.7,21.1,90.0,1010.7,0.5,50.9,105.0,NO2,-1.0,1,1.458985152341619
31,8.0,88.0,93.0,65.0,1.0,1.7,21.8,88.0,1011.4,0.7,30.6,104.0,NO2,1.0,1,1.5789463627389286
32,12.0,90.0,86.0,65.0,6.0,1.5,22.9,82.0,1012.2,1.3,49.0,105.0,NO2,-12.0,1,1.566501957534349
33,14.0,74.0,71.0,64.0,28.0,1.0,23.7,75.0,1012.8,1.5,53.6,93.0,NO2,-19.0,1,1.1885516521433181
34,11.0,59.0,36.0,46.0,66.0,0.9,24.6,70.0,1012.7,1.3,83.2,74.0,NO2,-14.0,1,0.6115736891154698
35,11.0,40.0,36.0,33.0,112.0,0.8,25.4,67.0,1012.1,1.4,97.2,60.0,O3,29.0,4,0.4146317205506159
36,10.0,33.0,34.0,27.0,146.0,0.8,26.0,64.0,1011.3,1.6,54.8,89.0,O3,56.0,4,0.36915446722512996
37,11.0,31.0,45.0,33.0,209.0,0.8,26.7,62.0,1010.3,1.3,93.1,145.0,O3,22.0,4,0.7373237189669702
38,11.0,33.0,64.0,53.0,232.0,0.8,27.3,61.0,1009.4,0.8,221.0,167.0,O3,24.0,4,1.1770762681580362
39,11.0,38.0,63.0,56.0,256.0,0.9,28.3,59.0,1008.6,0.8,283.5,191.0,O3,10.0,4,1.3739497139280017
40,14.0,52.0,97.0,70.0,266.0,1.0,27.5,62.0,1008.0,1.1,232.5,201.0,O3,-21.0,4,2.067297481495794
41,9.0,60.0,118.0,81.0,245.0,1.0,27.0,65.0,1008.0,1.1,254.4,180.0,O3,-67.0,4,2.248196195654192
42,13.0,54.0,166.0,85.0,173.0,1.0,26.4,69.0,1008.1,1.0,239.6,113.0,PM2.5,-16.0,3,2.439661294317487
43,10.0,62.0,73.0,72.0,119.0,1.1,26.1,71.0,1008.7,1.4,232.0,97.0,PM2.5,0.0,3,1.4273734270147167
44,11.0,52.0,68.0,72.0,91.0,1.0,25.7,74.0,1009.2,1.0,272.4,97.0,PM2.5,-23.0,3,1.159926587586133
45,10.0,46.0,59.0,54.0,74.0,0.8,25.0,76.0,1009.6,0.9,34.6,74.0,PM2.5,-19.0,3,0.7014635748533712
46,8.0,37.0,37.0,39.0,68.0,0.7,24.7,76.0,1009.8,0.9,339.6,55.0,PM2.5,15.0,3,0.1871598760027701
47,9.0,56.0,38.0,26.0,38.0,0.8,24.5,77.0,1009.8,0.8,52.7,70.0,NO2,0.0,1,0.2368451150313155
48,9.0,56.0,53.0,29.0,30.0,0.8,23.9,82.0,1009.5,0.8,63.5,70.0,NO2,-10.0,1,0.35881026716328257
49,8.0,45.0,59.0,43.0,31.0,0.8,23.7,84.0,1009.1,0.7,113.0,60.0,PM2.5,-1.0,3,0.3973822347223327
50,8.0,45.0,46.0,42.0,35.0,0.7,23.6,84.0,1008.2,1.0,104.1,59.0,PM2.5,-4.0,3,0.2573079707670677
51,7.0,22.0,23.0,39.0,75.0,0.6,23.4,82.0,1007.7,1.2,90.1,55.0,PM2.5,-18.0,3,-0.12490498740284435
52,7.0,22.0,22.0,24.0,73.0,0.6,23.4,82.0,1007.8,1.4,96.5,37.0,O3,2.0,4,-0.2747981015251754
53,6.0,31.0,24.0,26.0,55.0,0.6,23.4,82.0,1007.9,1.3,116.3,39.0,NO2,6.0,1,-0.22744798888000972
54,7.0,36.0,26.0,30.0,51.0,0.7,23.4,82.0,1008.5,1.5,119.1,45.0,NO2,8.0,1,-0.07628748456227191
55,7.0,40.0,26.0,37.0,56.0,0.7,23.7,81.0,1008.6,1.8,118.9,53.0,PM2.5,-7.0,3,0.04776809288618922
56,6.0,35.0,25.0,32.0,69.0,0.7,24.1,79.0,1008.8,1.8,110.9,46.0,PM2.5,2.0,3,-0.03374402754867371
57,7.0,38.0,31.0,26.0,69.0,0.7,24.4,79.0,1009.1,1.8,122.1,48.0,NO2,4.0,1,0.01501890571466099
58,6.0,41.0,37.0,27.0,70.0,0.7,24.8,78.0,1009.2,1.5,115.3,52.0,NO2,-3.0,1,0.08903605329077136
59,6.0,39.0,39.0,24.0,81.0,0.7,24.8,78.0,1008.9,1.9,115.0,49.0,NO2,-2.0,1,0.09616393824164274
60,6.0,32.0,36.0,26.0,94.0,0.6,25.1,76.0,1008.1,2.3,121.7,47.0,O3,4.0,4,0.02151987453957933
61,5.0,22.0,28.0,23.0,101.0,0.6,25.5,75.0,1006.9,2.4,100.9,51.0,O3,-2.0,4,-0.1754575705429932
62,5.0,21.0,35.0,15.0,98.0,0.6,25.3,76.0,1005.9,2.6,98.6,49.0,O3,-7.0,4,-0.21107618415357782
63,5.0,26.0,30.0,15.0,84.0,0.6,25.0,79.0,1005.1,1.8,93.2,42.0,O3,2.0,4,-0.24796288107391906
64,5.0,35.0,39.0,13.0,68.0,0.6,24.6,85.0,1004.6,1.6,102.3,44.0,NO2,4.0,1,-0.1511106850244438
65,4.0,38.0,36.0,21.0,57.0,0.6,24.3,90.0,1004.8,1.3,105.6,48.0,NO2,2.0,1,-0.1313274983333783
66,5.0,40.0,26.0,20.0,53.0,0.6,24.3,90.0,1005.2,1.9,118.9,50.0,NO2,17.0,1,-0.19472466285336937
67,6.0,53.0,24.0,14.0,36.0,0.6,24.3,90.0,1005.5,1.6,112.3,67.0,NO2,-2.0,1,-0.1639871587919623
68,6.0,52.0,29.0,23.0,31.0,0.6,24.4,90.0,1006.2,2.2,114.4,65.0,NO2,17.0,1,-0.07077981561246732
69,8.0,65.0,28.0,18.0,14.0,0.6,24.4,89.0,1006.5,2.1,111.2,82.0,NO2,-39.0,1,-0.00228954334636246
70,7.0,34.0,13.0,24.0,53.0,0.5,24.2,86.0,1007.0,2.3,115.7,43.0,NO2,-4.0,1,-0.32830439101575104
71,5.0,15.0,9.0,11.0,78.0,0.5,24.0,84.0,1007.0,2.0,121.6,39.0,O3,4.0,4,-0.6360122745247879
72,5.0,13.0,9.0,11.0,85.0,0.5,24.1,82.0,1006.3,1.9,122.4,43.0,O3,-5.0,4,-0.6327427511321643
73,5.0,15.0,10.0,9.0,75.0,0.5,24.0,82.0,1005.8,1.3,95.2,38.0,O3,-3.0,4,-0.6564147562625035
74,4.0,16.0,12.0,9.0,69.0,0.4,23.8,82.0,1004.8,1.6,112.6,35.0,O3,-5.0,4,-0.7092832523479309
75,4.0,19.0,15.0,10.0,59.0,0.5,23.6,84.0,1004.0,0.8,85.0,30.0,O3,18.0,4,-0.6404630038396578
76,7.0,38.0,22.0,9.0,36.0,0.5,23.6,86.0,1004.7,1.0,47.5,48.0,NO2,24.0,1,-0.40589328669258384
77,7.0,57.0,27.0,11.0,10.0,0.5,23.5,88.0,1004.9,1.0,24.5,72.0,NO2,17.0,1,-0.23324426700364248
78,6.0,71.0,30.0,18.0,2.0,0.6,23.4,88.0,1004.7,1.6,70.0,89.0,NO2,-11.0,1,-0.00457725653126052
79,4.0,62.0,26.0,17.0,19.0,0.6,23.4,84.0,1004.9,1.8,66.9,78.0,NO2,-5.0,1,-0.1246439260735842
80,6.0,58.0,19.0,14.0,23.0,0.7,24.3,83.0,1005.3,2.0,96.6,73.0,NO2,1.0,1,-0.15905589651758886
81,7.0,59.0,40.0,13.0,6.0,0.7,25.1,86.0,1005.7,1.4,78.8,74.0,NO2,0.0,1,-0.0242365677813953
82,7.0,59.0,55.0,23.0,2.0,0.8,25.3,88.0,1006.1,1.3,61.9,74.0,NO2,5.0,1,0.21302786550384403
83,5.0,63.0,55.0,29.0,18.0,0.7,23.6,89.0,1006.5,2.6,59.1,79.0,NO2,-35.0,1,0.28804500449085607
84,5.0,35.0,4.0,19.0,86.0,0.5,21.7,89.0,1006.0,2.8,54.2,44.0,NO2,2.0,1,-0.35974649427745875
85,4.0,35.0,14.0,4.0,92.0,0.4,21.3,92.0,1005.4,2.6,68.5,46.0,O3,21.0,4,-0.4492211762101892
86,4.0,53.0,8.0,4.0,73.0,0.5,21.4,92.0,1004.9,1.9,73.0,67.0,NO2,2.0,1,-0.3327846356583849
87,4.0,55.0,19.0,5.0,72.0,0.5,21.5,92.0,1004.3,2.4,63.7,69.0,NO2,10.0,1,-0.2150150283008806
88,4.0,63.0,15.0,10.0,64.0,0.5,21.4,92.0,1004.0,2.0,77.2,79.0,NO2,1.0,1,-0.144829077118066
89,5.0,64.0,15.0,10.0,61.0,0.6,21.6,91.0,1003.8,1.4,104.1,80.0,NO2,-7.0,1,-0.08588669788506759
90,4.0,58.0,21.0,14.0,60.0,0.6,21.8,90.0,1004.2,2.2,114.8,73.0,NO2,-9.0,1,-0.08983513834561943
91,4.0,51.0,26.0,16.0,57.0,0.5,21.7,91.0,1005.0,2.4,101.3,64.0,NO2,3.0,1,-0.15566222702447968
92,4.0,53.0,23.0,22.0,49.0,0.5,21.9,90.0,1005.5,2.1,97.4,67.0,NO2,12.0,1,-0.13342011912592588
93,4.0,63.0,20.0,25.0,33.0,0.5,22.1,90.0,1006.0,1.4,99.0,79.0,NO2,8.0,1,-0.07976701028905674
94,4.0,69.0,28.0,25.0,23.0,0.6,22.3,90.0,1006.3,1.1,95.1,87.0,NO2,11.0,1,0.05386846994811041
95,5.0,78.0,34.0,32.0,11.0,0.6,22.5,88.0,1006.5,1.0,74.8,98.0,NO2,0.0,1,0.2415267100155704
96,5.0,78.0,33.0,31.0,3.0,0.7,22.5,90.0,1006.9,0.6,337.8,98.0,NO2,-4.0,1,0.2340096409065089
97,4.0,75.0,48.0,35.0,1.0,0.7,22.3,90.0,1006.5,0.6,33.7,94.0,NO2,4.0,1,0.33323950054354085
98,5.0,78.0,52.0,38.0,-1.0,0.8,22.1,91.0,1005.4,1.0,77.8,98.0,NO2,1.0,1,0.47733667950579667
99,6.0,79.0,50.0,42.0,0.0,0.9,22.0,92.0,1004.7,1.0,72.3,99.0,NO2,-5.0,1,0.5699448594298324
100,6.0,75.0,50.0,48.0,0.0,0.8,22.0,92.0,1004.7,0.9,56.1,94.0,NO2,-2.0,1,0.542066455592062
101,6.0,73.0,43.0,44.0,0.0,0.8,22.0,92.0,1004.6,0.8,47.1,92.0,NO2,-2.0,1,0.4267898721564092
102,6.0,72.0,47.0,46.0,0.0,0.9,22.1,92.0,1005.4,0.8,26.7,90.0,NO2,-3.0,1,0.5050796376551456
103,6.0,69.0,50.0,48.0,4.0,0.9,22.4,91.0,1005.7,1.2,60.7,87.0,NO2,-2.0,1,0.5294405199051029
104,7.0,68.0,39.0,39.0,12.0,0.8,23.4,86.0,1004.9,1.7,87.3,85.0,NO2,-8.0,1,0.3580722612038546
105,9.0,61.0,38.0,35.0,14.0,0.6,24.5,84.0,1005.0,1.5,100.7,77.0,NO2,10.0,1,0.2096798719008265
106,11.0,69.0,38.0,21.0,3.0,0.7,24.5,87.0,1005.1,1.2,74.7,87.0,NO2,1.0,1,0.21107582909765193
107,10.0,70.0,43.0,31.0,1.0,0.8,24.5,88.0,1005.3,1.6,324.2,88.0,NO2,-24.0,1,0.363381379290026
108,4.0,51.0,26.0,27.0,36.0,0.7,22.2,92.0,1005.3,1.5,324.6,64.0,NO2,13.0,1,-0.05548405842677497
109,3.0,61.0,5.0,6.0,28.0,0.7,22.1,94.0,1005.0,1.1,102.8,77.0,NO2,15.0,1,-0.3573816614853497
110,3.0,73.0,10.0,6.0,22.0,0.7,22.5,94.0,1003.9,1.0,144.1,92.0,NO2,-12.0,1,-0.20728744841053084
111,4.0,64.0,23.0,8.0,38.0,0.8,23.2,90.0,1003.0,1.4,104.9,80.0,NO2,-12.0,1,-0.06403903165632052
112,6.0,54.0,63.0,16.0,52.0,0.7,25.0,80.0,1002.9,0.8,263.8,68.0,NO2,17.0,1,0.28157841851497917
113,5.0,68.0,37.0,16.0,36.0,0.7,24.2,84.0,1003.5,1.3,93.3,85.0,NO2,12.0,1,0.1416705670587675
114,5.0,77.0,22.0,19.0,17.0,0.7,23.6,89.0,1004.3,1.1,94.2,97.0,NO2,-14.0,1,0.07486074259513728
115,4.0,66.0,23.0,17.0,29.0,0.7,23.2,90.0,1004.5,1.4,111.4,83.0,NO2,-11.0,1,-0.03198849563047009
116,6.0,57.0,13.0,9.0,32.0,0.7,23.2,89.0,1005.0,1.1,109.7,72.0,NO2,25.0,1,-0.23207370069650715
117,7.0,77.0,22.0,10.0,8.0,0.7,23.0,90.0,1005.7,0.8,53.6,97.0,NO2,-8.0,1,0.00311485492136703
118,6.0,71.0,21.0,17.0,12.0,0.7,23.1,90.0,1006.1,0.8,101.9,89.0,NO2,-17.0,1,-0.01377213787913129
119,5.0,57.0,24.0,21.0,16.0,0.7,23.2,90.0,1006.4,0.4,319.6,72.0,NO2,7.0,1,-0.11146671077660084
120,4.0,63.0,24.0,20.0,4.0,0.7,23.1,92.0,1006.1,0.5,74.6,79.0,NO2,8.0,1,-0.11866053196710295
121,4.0,69.0,21.0,21.0,0.0,0.8,22.9,93.0,1005.6,0.6,40.8,87.0,NO2,-3.0,1,-0.04529418355028153
122,4.0,67.0,32.0,24.0,-1.0,0.7,22.8,93.0,1004.9,0.6,36.5,84.0,NO2,9.0,1,0.00872697552261436
123,4.0,74.0,25.0,21.0,-1.0,0.7,22.8,94.0,1004.4,0.8,52.5,93.0,NO2,1.0,1,0.00014686178606795
124,4.0,75.0,30.0,19.0,0.0,0.8,22.8,94.0,1004.5,0.8,48.5,94.0,NO2,-11.0,1,0.0760949952452124
125,5.0,66.0,45.0,27.0,0.0,1.0,22.8,94.0,1004.9,0.9,61.0,83.0,NO2,-6.0,1,0.27076612352163515
126,6.0,61.0,52.0,38.0,0.0,1.0,22.9,94.0,1005.5,0.9,70.1,77.0,NO2,0.0,1,0.39334784493530667
127,6.0,61.0,52.0,47.0,1.0,1.1,23.2,93.0,1006.2,0.9,32.8,77.0,NO2,7.0,1,0.5158734041354073
128,6.0,67.0,51.0,46.0,3.0,1.1,24.0,90.0,1006.5,0.9,73.7,84.0,NO2,9.0,1,0.570956410204062
129,10.0,74.0,50.0,47.0,11.0,0.9,25.4,86.0,1006.7,1.3,112.0,93.0,NO2,-8.0,1,0.6819298341434351
130,6.0,68.0,57.0,41.0,15.0,0.8,27.0,82.0,1006.8,0.6,132.8,85.0,NO2,-15.0,1,0.5145151790944671
131,5.0,56.0,50.0,39.0,20.0,0.7,27.8,81.0,1006.5,0.9,218.6,70.0,NO2,-2.0,1,0.26764144284623187
132,4.0,54.0,63.0,32.0,7.0,0.7,27.2,86.0,1005.9,1.0,74.7,68.0,NO2,-5.0,1,0.2233394887920816
133,4.0,46.0,76.0,22.0,10.0,0.6,27.1,88.0,1005.4,0.9,86.7,63.0,PM10,-21.0,2,0.12639125924786532
134,8.0,33.0,32.0,24.0,29.0,0.6,28.8,80.0,1004.8,1.2,233.9,42.0,NO2,-10.0,1,-0.20945635878805213
135,6.0,20.0,32.0,22.0,42.0,0.5,29.0,78.0,1004.1,2.2,237.6,32.0,"PM10,PM2.5",9.0,"2,3",-0.40148719686972345
136,4.0,24.0,41.0,13.0,31.0,0.5,28.0,84.0,1003.5,2.0,241.9,41.0,PM10,4.0,2,-0.4449414823845054
137,3.0,13.0,34.0,17.0,90.0,0.5,24.6,89.0,1004.2,1.5,304.7,45.0,O3,3.0,4,-0.3961456058049537
138,2.0,38.0,20.0,20.0,50.0,0.7,24.8,90.0,1004.4,0.4,30.7,48.0,NO2,31.0,1,-0.2999822008460449
139,2.0,63.0,41.0,21.0,6.0,0.7,25.6,92.0,1005.0,0.6,29.9,79.0,NO2,-22.0,1,-0.003539963673385
140,2.0,37.0,64.0,24.0,8.0,0.6,26.5,91.0,1005.6,0.9,82.9,57.0,PM10,11.0,2,-0.10052520070942564
141,3.0,54.0,28.0,17.0,0.0,0.7,25.6,92.0,1006.3,0.8,59.9,68.0,NO2,-3.0,1,-0.24514918323993312
142,3.0,52.0,31.0,18.0,-1.0,0.7,25.4,94.0,1007.3,0.8,20.4,65.0,NO2,-8.0,1,-0.2367449458862926
143,2.0,45.0,33.0,22.0,-1.0,0.5,25.3,94.0,1007.5,0.7,36.7,57.0,NO2,-2.0,1,-0.3574444723852376
144,1.0,44.0,17.0,22.0,-1.0,0.6,25.2,95.0,1006.9,0.6,72.7,55.0,NO2,-3.0,1,-0.48245939478649935
145,2.0,41.0,29.0,18.0,-1.0,0.6,25.2,95.0,1006.4,0.7,72.3,52.0,NO2,-2.0,1,-0.43146637038424474
146,3.0,40.0,32.0,22.0,-1.0,0.5,25.1,95.0,1005.8,0.5,86.8,50.0,NO2,-1.0,1,-0.399435650498725
147,4.0,39.0,30.0,14.0,-1.0,0.5,25.1,95.0,1005.4,0.4,62.2,49.0,NO2,0.0,1,-0.4779731094626732
148,5.0,39.0,30.0,22.0,-1.0,0.5,25.2,95.0,1005.3,0.8,81.3,49.0,NO2,-1.0,1,-0.38568904813830296
149,5.0,38.0,40.0,20.0,0.0,0.5,25.4,94.0,1005.5,0.8,298.1,48.0,NO2,-9.0,1,-0.3285004155229599
150,4.0,31.0,28.0,21.0,4.0,0.5,25.6,94.0,1005.9,0.7,47.0,39.0,NO2,-9.0,1,-0.5007053794553298
151,3.0,24.0,28.0,17.0,13.0,0.6,26.3,91.0,1006.4,1.0,287.7,30.0,NO2,-2.0,1,-0.5627561982352138
152,4.0,22.0,23.0,13.0,23.0,0.7,27.6,82.0,1006.8,1.7,249.1,28.0,NO2,0.0,1,-0.5670620481910971
153,10.0,22.0,24.0,17.0,35.0,0.6,28.3,77.0,1007.4,2.9,225.7,28.0,NO2,7.0,1,-0.3951002855939552
154,13.0,24.0,35.0,14.0,48.0,0.6,29.1,73.0,1007.7,2.0,231.1,35.0,PM10,5.0,2,-0.2015946659004499
155,8.0,21.0,40.0,20.0,57.0,0.6,29.2,72.0,1007.8,2.8,234.8,40.0,PM10,2.0,2,-0.2097531250715512
156,4.0,15.0,29.0,11.0,84.0,0.5,29.9,68.0,1007.3,2.5,241.5,42.0,O3,1.0,4,-0.470313065356415
157,3.0,13.0,40.0,20.0,86.0,0.5,30.1,68.0,1006.4,2.1,243.7,43.0,O3,-8.0,4,-0.33407369006484733
158,3.0,17.0,29.0,15.0,69.0,0.5,30.0,68.0,1005.5,2.1,231.6,35.0,O3,-1.0,4,-0.48681316787047
159,3.0,18.0,29.0,17.0,67.0,0.5,30.2,68.0,1005.3,1.8,239.5,34.0,O3,-4.0,4,-0.46515853525506745
160,1.0,23.0,30.0,14.0,56.0,0.5,30.2,67.0,1005.5,1.8,249.4,30.0,PM10,1.0,2,-0.5098792582215689
161,1.0,23.0,31.0,12.0,47.0,0.5,29.6,69.0,1006.0,1.4,72.2,31.0,PM10,19.0,2,-0.5516992283124661
162,2.0,40.0,39.0,17.0,40.0,0.6,27.2,76.0,1006.8,2.2,66.5,50.0,NO2,33.0,1,-0.22252697096931467
163,2.0,66.0,37.0,11.0,16.0,0.7,25.9,82.0,1007.2,1.2,44.3,83.0,NO2,-18.0,1,-0.05790807998855572
164,2.0,52.0,44.0,11.0,5.0,0.6,26.9,83.0,1007.5,1.0,80.9,65.0,NO2,-17.0,1,-0.22975568493846404
165,0.0,38.0,44.0,17.0,3.0,0.5,26.9,85.0,1008.2,0.7,45.7,48.0,NO2,4.0,1,-0.4144489281857906
166,1.0,41.0,32.0,16.0,0.0,0.6,26.5,87.0,1008.8,0.5,34.3,52.0,NO2,-17.0,1,-0.441651929659278
167,0.0,28.0,23.0,14.0,9.0,0.5,26.6,83.0,1008.8,1.0,272.6,35.0,NO2,3.0,1,-0.7015886828396914
168,0.0,30.0,17.0,12.0,4.0,0.5,26.5,84.0,1008.4,0.8,310.9,38.0,NO2,11.0,1,-0.7651017736451059
169,1.0,39.0,26.0,9.0,-1.0,0.5,25.9,87.0,1007.8,0.5,33.5,49.0,NO2,-7.0,1,-0.6174077209624799
170,0.0,33.0,40.0,17.0,-1.0,0.5,25.6,90.0,1007.7,0.4,61.3,42.0,NO2,-2.0,1,-0.5159862582856426
171,0.0,32.0,35.0,17.0,-1.0,0.5,25.2,92.0,1007.4,0.5,69.4,40.0,NO2,4.0,1,-0.5680514547734914
172,3.0,35.0,35.0,16.0,-1.0,0.5,25.0,94.0,1007.8,0.7,32.4,44.0,NO2,-1.0,1,-0.48281072906398653
173,5.0,34.0,39.0,22.0,-1.0,0.6,24.9,95.0,1008.4,0.7,28.2,43.0,NO2,-1.0,1,-0.327562974257024
174,1.0,33.0,35.0,25.0,0.0,0.6,24.8,95.0,1008.7,0.8,37.2,42.0,NO2,11.0,1,-0.4230906610780289
175,3.0,40.0,55.0,15.0,1.0,0.8,25.4,94.0,1008.9,0.7,64.1,53.0,PM10,0.0,2,-0.15077438485597644
176,6.0,36.0,36.0,37.0,10.0,0.8,27.7,81.0,1009.2,1.2,76.4,53.0,PM2.5,-13.0,3,-0.05975049186561311
177,6.0,27.0,35.0,28.0,31.0,0.6,29.0,72.0,1009.5,1.6,220.4,40.0,PM2.5,-4.0,3,-0.24796388148958998
178,8.0,24.0,36.0,18.0,48.0,0.5,30.4,66.0,1009.7,1.6,237.3,36.0,PM10,-2.0,2,-0.29845157674730527
179,9.0,17.0,34.0,17.0,67.0,0.4,31.1,62.0,1009.4,2.0,236.1,34.0,"PM10,O3",4.0,"2,4",-0.34979542833832733
180,7.0,16.0,31.0,14.0,76.0,0.4,31.6,60.0,1008.5,2.0,246.4,38.0,O3,2.0,4,-0.4212423011683317
181,6.0,14.0,28.0,10.0,79.0,0.4,31.9,59.0,1007.6,1.6,239.0,40.0,O3,-2.0,4,-0.5133889742089107
182,5.0,14.0,26.0,13.0,76.0,0.4,32.2,59.0,1007.0,2.0,235.6,38.0,O3,-1.0,4,-0.5342217268056554
183,5.0,14.0,30.5,12.0,73.0,0.4,32.4,58.0,1006.5,1.9,239.3,37.0,O3,-2.0,4,-0.5168122011136315
184,4.0,17.0,35.0,10.0,64.0,0.6,31.9,60.0,1006.1,2.1,226.5,35.0,PM10,5.0,2,-0.441258572183025
185,4.0,20.0,39.5,16.0,51.0,0.6,31.4,62.0,1006.1,2.0,233.0,40.0,PM10,4.0,2,-0.3641959631018715
186,5.0,24.0,44.0,14.0,34.0,0.6,30.5,65.0,1006.6,1.3,278.0,44.0,PM10,-8.0,2,-0.34174902287611053
187,4.0,26.0,36.0,16.0,26.0,0.6,29.4,70.0,1006.9,1.6,256.6,36.0,PM10,2.0,2,-0.4171273551665602
188,11.0,30.0,37.0,15.0,16.0,0.6,28.7,74.0,1007.3,2.0,239.0,38.0,NO2,-1.0,1,-0.26630649581757715
189,14.0,29.0,37.0,15.0,15.0,0.6,28.2,77.0,1007.9,2.0,247.2,37.0,"NO2,PM10",12.0,"1,2",-0.21910293309406953
190,13.0,27.0,49.0,16.0,15.0,0.6,27.7,80.0,1008.4,1.6,239.6,49.0,PM10,-16.0,2,-0.15350152481827772
191,12.0,26.0,33.0,22.0,15.0,0.6,27.3,81.0,1008.3,1.2,270.4,33.0,"NO2,PM10",3.0,"1,2",-0.2629597583518002
192,8.0,24.0,36.0,20.0,15.0,0.6,26.9,83.0,1008.0,0.9,275.5,36.0,PM10,0.0,2,-0.3600643626638673
193,6.0,24.0,36.0,15.0,15.0,0.6,26.9,82.0,1007.5,1.3,235.1,36.0,PM10,-2.0,2,-0.44598986308380295
